"V1","location","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","location_name"
17,"Wyoming","2020-02-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
18,"Wyoming","2020-02-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
19,"Wyoming","2020-02-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
20,"Wyoming","2020-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
21,"Wyoming","2020-02-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
22,"Wyoming","2020-02-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
23,"Wyoming","2020-02-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
24,"Wyoming","2020-02-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
25,"Wyoming","2020-03-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
26,"Wyoming","2020-03-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
27,"Wyoming","2020-03-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
28,"Wyoming","2020-03-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
29,"Wyoming","2020-03-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
30,"Wyoming","2020-03-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
31,"Wyoming","2020-03-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
32,"Wyoming","2020-03-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
33,"Wyoming","2020-03-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
34,"Wyoming","2020-03-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
35,"Wyoming","2020-03-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
36,"Wyoming","2020-03-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
37,"Wyoming","2020-03-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
38,"Wyoming","2020-03-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
39,"Wyoming","2020-03-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
40,"Wyoming","2020-03-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
41,"Wyoming","2020-03-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
42,"Wyoming","2020-03-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
43,"Wyoming","2020-03-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
44,"Wyoming","2020-03-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
45,"Wyoming","2020-03-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
46,"Wyoming","2020-03-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
47,"Wyoming","2020-03-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
48,"Wyoming","2020-03-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
49,"Wyoming","2020-03-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
50,"Wyoming","2020-03-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
51,"Wyoming","2020-03-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
52,"Wyoming","2020-03-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
53,"Wyoming","2020-03-29",0.0039,0,0,0.0011,0,0,0.0008,0,0,0,0,0,0.0039,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
54,"Wyoming","2020-03-30",0.05875,0,0,0.01385,0,0,0.00985,0,0,0,0,0,0.05485,0,0,0.01275,0,0,0,0,0,0,0,0,0,0,0,"Wyoming"
55,"Wyoming","2020-03-31",0.23075,0,3.25,0.05575,0,0.801249999999999,0.0437,0,0.601249999999999,0,0,0,0.172,0,2.6,0.0419,0,0.6,0,0,0,0,0,0,0,0,0,"Wyoming"
56,"Wyoming","2020-04-01",0.66995,0,8.16249999999999,0.15855,0,2.05,0.125,0,1.60125,0,0,0,0.4392,0,5.60125,0.1028,0,1.25125,0,0,0,0,0,0,0,0,0,"Wyoming"
57,"Wyoming","2020-04-02",1.7236,0,16.03125,0.4067,0,4.00125,0.32275,0,3.2,0,0,0,1.05365,0,8.95375,0.24815,0,2.20125,0,0,0,0,0,0,0,0,0,"Wyoming"
58,"Wyoming","2020-04-03",3.41115,0,24.81375,0.8032,0,6.00375,0.63995,0,4.8,0,0,0,1.68755,0,10.45,0.3965,0,2.55,0,0,0,0,0,0,0,0,0,"Wyoming"
59,"Wyoming","2020-04-04",5.8805,0,34.90625,1.38185,0,8.35125,1.10065,0,6.55,0,0,0,2.46935,0,11.20125,0.57865,0,2.70125,0,0,0,0,0,0,0,0,0,"Wyoming"
60,"Wyoming","2020-04-05",9.23315,0,45.12375,2.1734,0,10.70375,1.7353,0,8.3525,0,0,0,3.35265,0,11.9525,0.79155,0,2.85,0,0,0,0,0,0,0,0,0,"Wyoming"
61,"Wyoming","2020-04-06",13.58245,0,56.06375,3.1987,0,13.4525,2.55385,0,10.5525,0,0,0,4.35035,0,13.70375,1.02635,0,3.30125,0,0,0,0,0,0,0,0,0,"Wyoming"
62,"Wyoming","2020-04-07",19.06295,0,72.3,4.47655,0,16.95375,3.5749,0,13.6,0.002,0,0,5.49205,0,17.10375,1.2894,0,4,0.002,0,0,0,0,0,0,0,0,"Wyoming"
63,"Wyoming","2020-04-08",25.7833,0,91.00375,6.03875,0,20.555,4.83055,0,16.40625,0.024,0,0,6.76145,0,18.95125,1.6018,0,4.50125,0.026,0,0,0,0,0,0,0,0,"Wyoming"
64,"Wyoming","2020-04-09",33.66435,0,108.41375,7.81285,0,24.4575,6.2461,0,19.30125,0.084,0,1,7.9994,0,21.35625,1.8745,0,5.20125,0.11,0,1,0,0,0,0,0,0,"Wyoming"
65,"Wyoming","2020-04-10",42.9865,0,127.6625,9.84025,0,27.90125,7.86725,0,22.25125,0.145,0,1,9.629,0,24.70125,2.2711,0,5.75125,0.255,0,2,0,0,0,0,0,0,"Wyoming"
66,"Wyoming","2020-04-11",53.96735,0,151.67625,12.16065,0,32.255,9.7219,0,25.46,0.238,0,1,11.47925,0,28.0075,2.7098,0,6.6,0.493,0,3,0,0,0,0,0,0,"Wyoming"
67,"Wyoming","2020-04-12",66.4702,0,177.90375,14.71795,0,36.95875,11.7696,0,29.35625,0.333,0,1,13.2583,0,31.61,3.12995,0,7.45,0.826,0,4,0,0,0,0,0,0,"Wyoming"
68,"Wyoming","2020-04-13",80.5172,0,207.1775,17.47445,0,41.555,13.98175,0,33.25125,0.446,0,1,15.08905,0,32.3075,3.54255,0,8.0025,1.272,0,5,0,0,0,0,0,0,"Wyoming"
69,"Wyoming","2020-04-14",96.33255,0.65,239.60125,20.50025,0.24875,47.45125,16.3979,0.19875,37.70125,0.579,0,2,17.21625,0.65,37.955,4.04325,0.15,9.05,1.851,0,7,0,0,0,0,0,3.45125,"Wyoming"
70,"Wyoming","2020-04-15",113.447,3.25,268.47875,23.68555,0.8,52.00375,18.9473,0.64875,42.205,0.713,0,2,18.96135,1.95,39.15375,4.4654,0.54875,9.25,2.564,0,9,0,0,0,0,0,8.00375,"Wyoming"
71,"Wyoming","2020-04-16",132.31575,12.125,299.1925,27.1313,3.03625,57.3025,21.70395,2.48625,45.60125,0.854,0,2,21.3103,5.04625,42.7,5.03665,1.1,10.25,3.418,0,11,0,0,0,0,0,13.3025,"Wyoming"
72,"Wyoming","2020-04-17",152.37535,20.4775,323.93875,30.7492,4.55,61.75875,24.59575,3.8,49.8125,1.038,0,3,23.3044,6.84875,46.50625,5.48205,1.45,10.35,4.456,0,14,0,0,0,0,0,17.75875,"Wyoming"
73,"Wyoming","2020-04-18",173.53455,30.09375,356.13375,34.48505,6.995,68.1625,27.5898,5.7925,55.155,1.234,0,3,25.37975,7.2975,48.75375,5.99585,1.69875,11.60625,5.69,0,17,0,0,0,0,0,24.1625,"Wyoming"
74,"Wyoming","2020-04-19",195.56705,38.51875,392.6575,38.26285,8.84875,72.88875,30.6143,7.1925,59.1775,1.447,0,3,27.36225,8,50.15875,6.4715,1.7,12.20125,7.137,0,20,0,0,0,0,0,28.88875,"Wyoming"
75,"Wyoming","2020-04-20",218.18085,47.34125,424.27375,42.0163,11.34375,78.7025,33.6174,9.24625,63.40375,1.67,0,4,29.11725,8.74875,52.91125,6.8676,2.05,12.70375,8.807,0,24,0,0,0,0,0,34.7025,"Wyoming"
76,"Wyoming","2020-04-21",241.2112,58.52875,457.235,45.77905,13.9475,83.5575,36.61845,11.0475,66.7025,1.906,0,4,30.7906,10.55,54.5025,7.2914,2.44875,13.25,10.713,0,28,0,0,0,1.77905,0,39.5575,"Wyoming"
77,"Wyoming","2020-04-22",264.5649,69.77375,496.25375,49.4185,16.62375,88.5675,39.54145,13.03875,71.2625,2.139,0,4,32.5695,11.94625,59.55,7.6696,2.74875,13.61,12.852,0,32,0,0,0,5.4185,0,44.5675,"Wyoming"
78,"Wyoming","2020-04-23",287.60805,85.175,527.79125,52.9217,20.12125,92.9025,42.35235,15.87875,74.1,2.388,1,5,33.71895,15.4,59.45875,7.9555,3.54875,13.75,15.24,1,37,0,0,0,8.9217,0,48.9025,"Wyoming"
79,"Wyoming","2020-04-24",310.1948,99.13125,552.77875,56.13305,21.5925,97.36125,44.9164,17.185,78.00875,2.632,1,5,34.86845,15.64875,60.90625,8.23095,3.65,14.4,17.872,2,42,0,0,0,12.13305,0,53.36125,"Wyoming"
80,"Wyoming","2020-04-25",332.0511,116.22,583.10375,59.1333,23.59875,101.3225,47.3159,18.8975,80.27875,2.881,1,5,35.8579,15.94375,63.4575,8.4655,3.85,15.655,20.753,3,47,0,0,0,15.1333,0,57.3225,"Wyoming"
81,"Wyoming","2020-04-26",352.57555,131.57,618.3475,61.7705,27.0375,107.90875,49.42465,21.595,85.8775,3.136,1,6,36.479,17.64875,63.5725,8.61875,3.94875,15.5,23.889,4,52.025,0,0,0,17.7705,0,63.90875,"Wyoming"
82,"Wyoming","2020-04-27",371.4006,154.74125,642.7175,63.92575,29.945,109.825,51.1619,23.8,87.63,3.356,1,6,36.6617,19.19125,64.20125,8.6143,4.3975,15.20125,27.245,5,57.025,0,0,0,19.92575,0,65.825,"Wyoming"
83,"Wyoming","2020-04-28",388.66145,175.6475,664.17625,65.74825,31.58875,112.87,52.61155,25.15,89.70625,3.554,1,6,36.90245,18.445,65.2025,8.6788,4.25,15.4,30.799,6,63,0,0,0,21.74825,0,68.87,"Wyoming"
84,"Wyoming","2020-04-29",403.7742,197.45375,699.7175,67.12555,33.8475,113.03875,53.71405,27.54625,91.1775,3.767,1,7,36.76925,18.5975,66.75125,8.658,4.34875,15.80125,34.566,7,69,0,0,0,23.12555,0,69.0387499999999,"Wyoming"
85,"Wyoming","2020-04-30",416.44095,209.7025,712.37125,67.9351,35.385,114.795,54.3704,28.84,91.5775,3.934,2,7,36.0256,16.845,65.325,8.4724,3.99875,15.50125,38.5,9,74.025,0,0,0,23.9351,0,70.795,"Wyoming"
86,"Wyoming","2020-05-01",426.5806,220.525,720.00375,68.3622,36.84375,117.8,54.6965,30.045,94.37875,4.078,2,7,35.5028,16.14625,66.14,8.37385,3.84875,16.0025,42.578,11,81.025,0,0,0,24.3622,0,73.8,"Wyoming"
87,"Wyoming","2020-05-02",434.41795,225.62875,737.10875,68.38525,36.59,119.91875,54.69235,29.5475,95.0625,4.206,2,7,34.92765,15.585,66.9125,8.24575,3.49875,15.9,46.784,13,89,0,0,0,24.38525,0,75.91875,"Wyoming"
88,"Wyoming","2020-05-03",439.2926,237.60875,739.9175,67.8538,36.38375,118.56875,54.2728,29.095,94.00875,4.298,2,7,33.6918,14.75,63.50875,7.92955,3.34875,14.6025,51.082,15,95,0,0,0,23.8538,0,74.56875,"Wyoming"
89,"Wyoming","2020-05-04",441.78015,238.31875,749.10875,66.9735,35.28875,118.90875,53.56635,27.99875,94.38625,4.352,2,7,32.83645,13.95,65.155,7.7338,3.19875,15.5,55.434,18,101,0,0,0,22.9735,0,74.9087499999999,"Wyoming"
90,"Wyoming","2020-05-05",441.60465,247.475,756.14125,65.7791,33.8475,119.975,52.6077,26.64625,96.00125,4.385,2,7.02499999999998,31.4202,13.395,63.30875,7.4188,2.95,15.05125,59.819,21,107,0,0,0,21.7791,0,75.975,"Wyoming"
91,"Wyoming","2020-05-06",438.7364,239.41375,762.83,64.1244,31.54875,120.85625,51.28905,25.2975,96.805,4.38,2,8,29.9309,11.85,62.0175,7.02995,2.65,14.55125,64.199,24,115,0,0,0,20.1244,0,76.85625,"Wyoming"
92,"Wyoming","2020-05-07",433.4076,228.76125,777.32625,62.22395,29.14375,120.15375,49.7591,23.4975,95.56125,4.334,2,8,28.66495,8.59875,63.3025,6.76025,2.14875,14.855,68.533,27.975,121,0,0,0,18.22395,0,76.15375,"Wyoming"
93,"Wyoming","2020-05-08",426.3033,220.625,785.015,60.2247,27.09625,117.07125,48.151,21.93875,94.03375,4.253,2,8,27.42195,8.4,61.5525,6.4752,1.95,14.25,72.786,30,127,0,0,0,16.2247,0,73.07125,"Wyoming"
94,"Wyoming","2020-05-09",416.77405,211.03625,770.965,57.8629,25.09,115.10875,46.27125,19.9475,92.17875,4.168,2,8,25.60935,7.1,56.47125,6.0178,1.65,13.6025,76.954,34,134.025,0,0,0,13.8629,0,71.10875,"Wyoming"
95,"Wyoming","2020-05-10",405.42275,197.03875,773.56625,55.327,22.6475,113.60125,44.25235,18.14375,91.905,4.067,2,8,24.24965,6.6,54.5025,5.716,1.44875,13.10125,81.021,37,140.025,0,0,0,11.327,0,69.60125,"Wyoming"
96,"Wyoming","2020-05-11",392.76975,183.84875,762.9075,52.8015,20.3975,112.6525,42.23585,16.39875,91.20125,3.959,2,8,22.94525,6.54875,55.25875,5.41495,1.45,13.1525,84.98,41,148.025,0,0,0,8.8015,0,68.6525,"Wyoming"
97,"Wyoming","2020-05-12",378.72295,169.8925,754.42125,50.10515,18.6975,109.66875,40.087,14.9,88.1125,3.815,2,7,21.4333,6.4475,51.00625,5.04185,1.4,12.35125,88.795,44,154.075,0,0,0,6.10515,0,65.66875,"Wyoming"
98,"Wyoming","2020-05-13",363.6609,157.54875,734.3625,47.4397,17.345,106.19125,37.9568,13.9425,85.205,3.648,2,7,20.14525,6.25,49.56375,4.7615,1.35,11.55,92.443,47,160.075,0,0,0,3.4397,0,62.19125,"Wyoming"
99,"Wyoming","2020-05-14",347.83675,146.68,726.405,44.81965,16.0975,102.97375,35.86785,12.89875,82.88125,3.481,1,7,18.7661,5.9,48.75125,4.4298,1.25,11.1025,95.924,49.975,165.1,0,0,0,0.81965,0,58.97375,"Wyoming"
100,"Wyoming","2020-05-15",331.6349,136.89875,712.2675,42.1559,15.24875,98.6075,33.7353,11.8475,79.50875,3.312,1,7,17.4811,5.45,45.0025,4.10535,1.15,10.9,99.236,52,170.1,0,0,0,0,0,54.6075,"Wyoming"
101,"Wyoming","2020-05-16",315.20275,125.28625,691.91625,39.57855,13.74875,95.12,31.6733,10.95,76.95,3.143,1,7,16.48345,4.8,41.605,3.9014,0.95,10.45125,102.379,55,176.05,0,0,0,0,0,51.12,"Wyoming"
102,"Wyoming","2020-05-17",298.3441,112.18875,676.9825,37.08765,11.59875,91.155,29.6789,9.2,73.3025,2.975,1,7,15.07895,0,40.15125,3.5392,0,9.45,105.354,57,183.075,0,0,0,0,0,47.155,"Wyoming"
103,"Wyoming","2020-05-18",281.75265,98.15,647.695,34.68675,9.7975,86.90125,27.7692,7.94875,70.15375,2.794,1,6,14.09315,0,39.40625,3.32905,0,9.30125,108.148,59,189.05,0,0,0,0,0,42.90125,"Wyoming"
104,"Wyoming","2020-05-19",265.07615,84.2475,627.005,32.3214,8.04625,84.00375,25.8707,6.4975,67.3,2.614,1,6,12.9901,0,37.60375,3.0569,0,9.2525,110.762,60,193.05,0,0,0,0,0,40.00375,"Wyoming"
105,"Wyoming","2020-05-20",248.7523,72.9425,601.77875,30.05895,6.04875,80.45375,24.0541,4.8975,63.52625,2.471,1,6,11.84145,0,34.05625,2.78525,0,8.155,113.233,61,195.15,0,0,0,0,0,36.45375,"Wyoming"
106,"Wyoming","2020-05-21",232.68625,60.8425,578.66,27.8144,4.29875,76.3025,22.2457,3.3,60.13,2.304,1,6,10.7411,0,32.30125,2.5271,0,7.65375,115.537,62,197.2,0,0,0,0,0,32.3025,"Wyoming"
107,"Wyoming","2020-05-22",217.07045,49.84,554.71625,25.69035,2.44875,72.955,20.5424,1.94625,58.25125,2.155,1,6,9.8602,0,31.21375,2.31645,0,7.6,117.692,64,203.125,0,0,0,0,0,28.955,"Wyoming"
108,"Wyoming","2020-05-23",201.7626,40.88875,523.61875,23.67515,1.1,68.75375,18.9416,0.84875,54.76125,2.02,1,5,8.89725,0,29.4125,2.0994,0,6.95,119.712,66,210.025,0,0,0,0,0,24.75375,"Wyoming"
109,"Wyoming","2020-05-24",187.1823,33.64625,503.485,21.68285,0,63.65625,17.34955,0,51.06875,1.878,0,5,8.1056,0,27.65375,1.91555,0,6.40375,121.59,67,214.05,0,0,0,0,0,19.65625,"Wyoming"
110,"Wyoming","2020-05-25",173.29525,28.49625,479.2525,19.88295,0,59.4575,15.90615,0,48.01625,1.739,0,5,7.40105,0,25.55,1.7499,0,6.15,123.329,69,217.075,0,0,0,0,0,15.4575,"Wyoming"
111,"Wyoming","2020-05-26",160.07265,23.995,449.73,18.156,0,57.00875,14.52945,0,46.10625,1.607,0,4.02499999999998,6.8649,0,24.55125,1.61475,0,5.75125,124.936,70,221.05,0,0,0,0,0,13.00875,"Wyoming"
112,"Wyoming","2020-05-27",147.6485,18.1975,425.4175,16.57645,0,53.50125,13.27115,0,43.155,1.468,0,4,6.29735,0,22.7075,1.4835,0,5.3,126.404,71,225.025,0,0,0,0,0,9.50125,"Wyoming"
113,"Wyoming","2020-05-28",136.0116,12.69875,403.21125,15.16365,0,50.2325,12.13645,0,40.30125,1.347,0,4,5.8024,0,21.5625,1.37805,0,5.2,127.751,71,229,0,0,0,0,0,6.23249999999997,"Wyoming"
114,"Wyoming","2020-05-29",125.07205,7.24875,380.06,13.86275,0,46.71375,11.1015,0,37.50125,1.229,0,4,5.22555,0,19.755,1.23235,0,4.75125,128.98,72,232,0,0,0,0,0,2.71374999999999,"Wyoming"
115,"Wyoming","2020-05-30",114.8556,3.74625,354.97125,12.6724,0,43.05,10.15005,0,34.25375,1.098,0,3.02499999999998,4.8033,0,18.3225,1.13065,0,4.45375,130.078,73,234,0,0,0,0,0,0,"Wyoming"
116,"Wyoming","2020-05-31",105.2588,0,335.02,11.60475,0,40.1525,9.28925,0,32.25625,1.005,0,3,4.4185,0,16.70375,1.0381,0,3.8525,131.083,73,236,0,0,0,0,0,0,"Wyoming"
117,"Wyoming","2020-06-01",96.5676,0,319.1075,10.64585,0,38.1,8.5168,0,30.855,0.915,0,3,4.12785,0,17.00875,0.96625,0,4.1,131.998,73,238.025,0,0,0,0,0,0,"Wyoming"
118,"Wyoming","2020-06-02",88.4909,0,296.19875,9.79745,0,36.60375,7.8401,0,29.25375,0.848,0,3,3.84055,0,15.5075,0.90555,0,3.6,132.846,73,240.025,0,0,0,0,0,0,"Wyoming"
119,"Wyoming","2020-06-03",81.01825,0,280.77125,9.0109,0,34.4,7.20545,0,27.5575,0.782,0,3,3.5102,0,14.40375,0.82965,0,3.35125,133.628,73,243,0,0,0,0,0,0,"Wyoming"
120,"Wyoming","2020-06-04",74.15175,0,264.16,8.27385,0,31.905,6.61065,0,25.405,0.72,0,3,3.1822,0,13.355,0.74955,0,3.25125,134.348,73,245.025,0,0,0,0,0,0,"Wyoming"
121,"Wyoming","2020-06-05",67.86215,0,244.08875,7.57355,0,28.56625,6.0541,0,23.06125,0.645,0,2,2.8528,0,12.5,0.6804,0,3.05,134.993,73,247.05,0,0,0,0,0,0,"Wyoming"
122,"Wyoming","2020-06-06",62.05225,0,226.73,6.94155,0,26.6025,5.54905,0,21.2025,0.594,0,2,2.5493,0,12.05125,0.6057,0,2.95,135.587,73,250.025,0,0,0,0,0,0,"Wyoming"
123,"Wyoming","2020-06-07",56.78345,0,208.38375,6.34205,0,24.75,5.06485,0,19.855,0.545,0,2,2.28705,0,11.2025,0.5349,0,2.75,136.132,73,253,0,0,0,0,0,0,"Wyoming"
124,"Wyoming","2020-06-08",51.89745,0,196.86125,5.7761,0,23.30375,4.61825,0,18.7,0.506,0,2,2.01175,0,10.755,0.475,0,2.7,136.638,73,255,0,0,0,0,0,0,"Wyoming"
125,"Wyoming","2020-06-09",47.35245,0,180.88,5.2233,0,21.55,4.1766,0,17.25125,0.473,0,2,1.78545,0,10.45,0.41615,0,2.50125,137.111,73,256.025,0,0,0,0,0,0,"Wyoming"
126,"Wyoming","2020-06-10",42.9967,0,167.68875,4.6757,0,18.76125,3.7402,0,15.25,0.438,0,2,1.5291,0,9.9525,0.36005,0,2.45,137.549,73,257.05,0,0,0,0,0,0,"Wyoming"
127,"Wyoming","2020-06-11",38.90415,0,157.105,4.14705,0,18.00125,3.31935,0,14.50125,0.398,0,2,1.30015,0,9.60125,0.30345,0,2.4,137.947,73,258.05,0,0,0,0,0,0,"Wyoming"
128,"Wyoming","2020-06-12",35.0172,0,145.43875,3.64405,0,17.505,2.9198,0,14.20125,0.354,0,1,1.0568,0,9.05125,0.24865,0,2.25125,138.301,73.975,259.05,0,0,0,0,0,0,"Wyoming"
129,"Wyoming","2020-06-13",31.361,0,139.82125,3.1531,0,17.05125,2.5269,0,13.7525,0.316,0,1,0.80135,0,8.75125,0.19175,0,2.15125,138.617,73.975,260.05,0,0,0,0,0,0,"Wyoming"
130,"Wyoming","2020-06-14",27.90365,0,133.8525,2.6949,0,16.8,2.15815,0,13.4,0.286,0,1,0.6196,0,8.1025,0.14855,0,2.00125,138.903,73.975,262.025,0,0,0,0,0,0,"Wyoming"
131,"Wyoming","2020-06-15",24.69065,0,126.96,2.2802,0,16.2525,1.83045,0,13.05125,0.25,0,1,0.51265,0,7.6,0.122,0,1.8525,139.153,73.975,263.025,0,0,0,0,0,0,"Wyoming"
