location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
04,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
04,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
04,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
04,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
04,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
04,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
04,NotreDame-mobility,eligible,"NA","NA","NA",eligible
04,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
04,PSI-DRAFT,eligible,"NA","NA","NA",eligible
04,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
04,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
04,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
04,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
04,UMass-MechBayes,eligible,"NA","NA","NA",eligible
04,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
04,UT-Mobility,eligible,"NA","NA","NA",eligible
04,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
05,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
05,CU-select,eligible,"NA","NA","NA",eligible
05,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
05,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
05,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
05,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
05,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
05,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
05,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
05,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
05,NotreDame-mobility,eligible,"NA","NA","NA",eligible
05,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
05,PSI-DRAFT,eligible,"NA","NA","NA",eligible
05,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
05,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
05,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
05,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
05,UMass-MechBayes,eligible,"NA","NA","NA",eligible
05,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
05,UT-Mobility,eligible,"NA","NA","NA",eligible
05,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
06,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
06,CU-select,eligible,"NA","NA","NA",eligible
06,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
06,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
06,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
06,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
06,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
06,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
06,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
06,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
06,NotreDame-mobility,eligible,"NA","NA","NA",eligible
06,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
06,PSI-DRAFT,eligible,"NA","NA","NA",eligible
06,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
06,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
06,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
06,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
06,UMass-MechBayes,eligible,"NA","NA","NA",eligible
06,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
06,UT-Mobility,eligible,"NA","NA","NA",eligible
06,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
08,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
08,CU-select,eligible,"NA","NA","NA",eligible
08,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
08,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
08,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
08,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
08,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
08,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
08,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
08,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
08,NotreDame-mobility,eligible,"NA","NA","NA",eligible
08,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
08,PSI-DRAFT,eligible,"NA","NA","NA",eligible
08,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
08,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
08,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
08,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
08,UMass-MechBayes,eligible,"NA","NA","NA",eligible
08,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
08,UT-Mobility,eligible,"NA","NA","NA",eligible
08,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
09,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
09,CU-select,eligible,"NA","NA","NA",eligible
09,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
09,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
09,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
09,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
09,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
09,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
09,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
09,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
09,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
09,NotreDame-mobility,eligible,"NA","NA","NA",eligible
09,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
09,PSI-DRAFT,eligible,"NA","NA","NA",eligible
09,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
09,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
09,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
09,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
09,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
09,UMass-MechBayes,eligible,"NA","NA","NA",eligible
09,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
09,UT-Mobility,eligible,"NA","NA","NA",eligible
09,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
10,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
10,CU-select,eligible,"NA","NA","NA",eligible
10,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
10,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
10,GT-DeepCOVID,missing required forecasts,"NA","NA","NA",ineligible
10,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
10,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
10,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
10,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
10,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
10,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
10,NotreDame-mobility,eligible,"NA","NA","NA",eligible
10,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
10,PSI-DRAFT,eligible,"NA","NA","NA",eligible
10,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
10,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
10,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
10,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
10,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
10,UMass-MechBayes,eligible,"NA","NA","NA",eligible
10,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
10,UT-Mobility,eligible,"NA","NA","NA",eligible
10,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
11,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
11,CU-select,eligible,"NA","NA","NA",eligible
11,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
11,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
11,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
11,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
11,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
11,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
11,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
11,MOBS-GLEAM_COVID,missing required forecasts,"NA","NA","NA",ineligible
11,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
11,NotreDame-mobility,eligible,"NA","NA","NA",eligible
11,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
11,PSI-DRAFT,eligible,"NA","NA","NA",eligible
11,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
11,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
11,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
11,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
11,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
11,UMass-MechBayes,eligible,"NA","NA","NA",eligible
11,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
11,UT-Mobility,eligible,"NA","NA","NA",eligible
11,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
12,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
12,CU-select,eligible,"NA","NA","NA",eligible
12,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
12,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
12,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
12,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
12,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
12,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
12,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
12,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
12,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
12,NotreDame-mobility,eligible,"NA","NA","NA",eligible
12,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
12,PSI-DRAFT,eligible,"NA","NA","NA",eligible
12,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
12,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
12,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
12,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
12,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
12,UMass-MechBayes,eligible,"NA","NA","NA",eligible
12,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
12,UT-Mobility,eligible,"NA","NA","NA",eligible
12,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
13,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
13,CU-select,eligible,"NA","NA","NA",eligible
13,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
13,GT_CHHS-COVID19,eligible,"NA","NA","NA",eligible
13,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
13,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
13,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
13,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
13,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
13,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
13,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
13,NotreDame-mobility,eligible,"NA","NA","NA",eligible
13,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
13,PSI-DRAFT,eligible,"NA","NA","NA",eligible
13,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
13,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
13,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
13,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
13,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
13,UMass-MechBayes,eligible,"NA","NA","NA",eligible
13,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
13,UT-Mobility,eligible,"NA","NA","NA",eligible
13,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
15,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
15,CU-select,eligible,"NA","NA","NA",eligible
15,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
15,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
15,GT-DeepCOVID,missing required forecasts,"NA","NA","NA",ineligible
15,IowaStateLW-STEM,missing required forecasts,"NA","NA","NA",ineligible
15,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
15,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
15,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
15,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
15,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
15,NotreDame-mobility,eligible,"NA","NA","NA",eligible
15,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
15,PSI-DRAFT,eligible,"NA","NA","NA",eligible
15,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
15,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
15,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
15,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
15,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
15,UMass-MechBayes,eligible,"NA","NA","NA",eligible
15,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
15,UT-Mobility,eligible,"NA","NA","NA",eligible
15,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
16,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
16,CU-select,eligible,"NA","NA","NA",eligible
16,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
16,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
16,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
16,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
16,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
16,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
16,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
16,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
16,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
16,NotreDame-mobility,eligible,"NA","NA","NA",eligible
16,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
16,PSI-DRAFT,eligible,"NA","NA","NA",eligible
16,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
16,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
16,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
16,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
16,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
16,UMass-MechBayes,eligible,"NA","NA","NA",eligible
16,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
16,UT-Mobility,eligible,"NA","NA","NA",eligible
16,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
17,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
17,CU-select,eligible,"NA","NA","NA",eligible
17,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
17,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
17,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
17,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
17,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
17,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
17,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
17,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
17,NotreDame-FRED,eligible,"NA","NA","NA",eligible
17,NotreDame-mobility,eligible,"NA","NA","NA",eligible
17,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
17,PSI-DRAFT,eligible,"NA","NA","NA",eligible
17,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
17,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
17,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
17,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
17,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
17,UMass-MechBayes,eligible,"NA","NA","NA",eligible
17,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
17,UT-Mobility,eligible,"NA","NA","NA",eligible
17,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
18,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
18,CU-select,eligible,"NA","NA","NA",eligible
18,epiforecasts-ensemble1,eligible,"NA","NA","NA",eligible
18,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
18,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
18,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
18,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
18,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
18,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
18,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
18,NotreDame-FRED,eligible,"NA","NA","NA",eligible
18,NotreDame-mobility,eligible,"NA","NA","NA",eligible
18,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
18,PSI-DRAFT,eligible,"NA","NA","NA",eligible
18,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
18,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
18,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
18,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
18,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
18,UMass-MechBayes,eligible,"NA","NA","NA",eligible
18,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
18,UT-Mobility,eligible,"NA","NA","NA",eligible
18,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
19,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
19,CU-select,eligible,"NA","NA","NA",eligible
19,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
19,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
19,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
19,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
19,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
19,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
19,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
19,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
19,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
19,NotreDame-mobility,eligible,"NA","NA","NA",eligible
19,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
19,PSI-DRAFT,eligible,"NA","NA","NA",eligible
19,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
19,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
19,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
19,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
19,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
19,UMass-MechBayes,eligible,"NA","NA","NA",eligible
19,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
19,UT-Mobility,eligible,"NA","NA","NA",eligible
19,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
20,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
20,CU-select,eligible,"NA","NA","NA",eligible
20,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
20,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
20,GT-DeepCOVID,eligible,"NA","NA","NA",eligible
20,IowaStateLW-STEM,eligible,"NA","NA","NA",eligible
20,JHU_IDD-CovidSP,eligible,"NA","NA","NA",eligible
20,LANL-GrowthRate,eligible,"NA","NA","NA",eligible
20,MITCovAlliance-SIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
20,MOBS-GLEAM_COVID,eligible,"NA","NA","NA",eligible
20,NotreDame-FRED,missing required forecasts,"NA","NA","NA",ineligible
20,NotreDame-mobility,eligible,"NA","NA","NA",eligible
20,OliverWyman-Navigator,eligible,"NA","NA","NA",eligible
20,PSI-DRAFT,eligible,"NA","NA","NA",eligible
20,QJHong-Encounter,missing required forecasts,"NA","NA","NA",ineligible
20,RobertWalraven-ESG,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
20,UA-EpiCovDA,eligible,"NA","NA","NA",eligible
20,UCLA-SuEIR,eligible,"NA","NA","NA",eligible
20,UM_CFG-RidgeTfReg,missing required forecasts,"NA","NA","NA",ineligible
20,UMass-MechBayes,eligible,"NA","NA","NA",eligible
20,USACE-ERDC_SEIR,eligible,"NA","NA","NA",Visual misalignment of predictive quantiles with JHU reference data.
20,UT-Mobility,eligible,"NA","NA","NA",eligible
20,YYG-ParamSearch,eligible,"NA","NA","NA",eligible
21,Covid19Sim-Simulator,eligible,"NA","NA","NA",eligible
21,CU-select,eligible,"NA","NA","NA",eligible
21,epiforecasts-ensemble1,missing required forecasts,"NA","NA","NA",ineligible
21,GT_CHHS-COVID19,missing required forecasts,"NA","NA","NA",ineligible
